English,Spanish
you,tú
I or I.,Yo o yo
to,a
the,la
a or A.,A o A.
and,y
that,que
it,eso
of,de
me,yo
what,qué
is,es
in,en
this,este
know,saber
I'm,estoy
for,por
no,no
have,tener
my,mi
don't,no
just,sólo
not,no
do,hacer
be,ser
on,en
your,su
was,estaba
we,nosotros
it's,es
with,con
so,asi que
but,pero
all,todos
well,bien
are,son
he,él
oh,Oh
about,sobre
right,Correcto
you're,estás
get,obtener
here,aquí
out,afuera
going,yendo
like,me gusta
yeah,sí
if,si
her,su
she,ella
can,pueden
up,arriba
want,desear
think,pensar
that's,ese es
now,ahora
go,Vamos
him,a él
at,a
how,cómo
got,obtuvo
there,allá
one,una
did,hizo
why,por qué
see,ver
come,venir
good,bueno
they,ellos
really,De Verdad
as,como
would,haría
look,Mira
when,cuando
time,tiempo
will,voluntad
okay,okey
back,espalda
can't,no poder
mean,significar
tell,decir
I'll,Voy a
from,de
hey,Oye
were,fueron
he's,él es
could,pudo
didn't,no
yes,sí
his,su
been,estado
or,o
something,alguna cosa
who,quién
because,porque
some,alguno
had,tenido
then,después
say,decir
ok,OK
take,tomar
an,un
way,camino
us,a nosotros
little,poco
make,hacer
need,necesitar
gonna,ir a
never,nunca
we're,fueron
too,también
love,amor
she's,Ella es
I've,He
sure,Por supuesto
them,a ellos
more,más
over,sobre
our,nuestro
sorry,perdón
where,dónde
what's,qué
let,dejar
thing,cosa
am,soy
maybe,quizás
down,abajo
man,hombre
has,posee
uh,oh
very,muy
by,por
there's,hay
should,debería
anything,cualquier cosa
said,dijo
much,mucho
any,ningún
life,vida
even,incluso
off,apagado
please,por favor
doing,haciendo
thank,gracias
give,dar
only,solamente
thought,pensamiento
help,ayuda
two,dos
talk,hablar
people,gente
god,dios
still,todavía
wait,Espere
into,dentro
find,encontrar
nothing,nada
again,otra vez
things,cosas
let's,vamos
doesn't,no
call,llamar
told,dicho
great,estupendo
before,antes de
better,mejor
ever,alguna vez
night,noche
than,que
away,lejos
first,primero
believe,creer
other,otro
feel,sentir
everything,todo
work,trabajar
you've,tienes
fine,multa
home,hogar
after,después
last,ultimo
these,estas
day,día
keep,mantener
does,lo hace
put,poner
around,alrededor
stop,deténgase
they're,ellos son
I'd,Identificación
guy,tipo
long,largo
isn't,no es
always,siempre
listen,escuchar
wanted,querido
Mr.,Señor.
guys,tipo
huh,¿eh?
those,aquellos
big,grande
lot,lote
happened,sucedió
thanks,Gracias
won't,no
trying,difícil
kind,tipo
wrong,equivocado
through,mediante
talking,hablando
made,hecha
new,nuevo
being,siendo
guess,adivinar
hi,hola
care,cuidado
bad,malo
mom,mamá
remember,recuerda
getting,consiguiendo
we'll,bien
together,juntos
dad,papá
leave,abandonar
mother,madre
place,lugar
understand,comprender
wouldn't,no
actually,Realmente
hear,oír
baby,bebé
nice,bonito
father,padre
else,más
stay,Quédate
done,hecho
wasn't,no
their,sus
course,curso
might,puede que
mind,mente
every,cada
enough,suficiente
try,probar
hell,infierno
came,vino
someone,alguien
you'll,tu
own,propio
family,familia
whole,entero
another,otro
house or House,casa o casa
Jack or jack,Jack o Jack
yourself,tú mismo
idea,ocurrencia
ask,pedir
best,mejor
must,deber
coming,viniendo
old,antiguo
looking,buscando
woman,mujer
hello,Hola
which,cual
years,años
room,habitación
money,dinero
left,izquierda
knew,supo
tonight,esta noche
real,real
son,hijo
hope,esperar
name,nombre
same,mismo
went,se fue
um,um
hmm,mmm
happy,contento
pretty,bonita
saw,sierra
girl,chica
sir,señor
show,mostrar
friend,amigo
already,ya
saying,dicho
may or May,puede o puede
next,Siguiente
three,Tres
job,trabajo
problem,problema
minute,minuto
found,fundar
world,mundo
thinking,pensando
haven't,no
heard,Escuchó
honey,miel
matter,asunto
myself,mí mismo
couldn't,no pude
exactly,exactamente
having,tener
ah,ahorcado
probably,probablemente
happen,suceder
we've,tenemos
hurt,herir
boy,chico
both,ambas cosas
while,tiempo
dead,muerto
gotta,tengo que
alone,solo
since,ya que
excuse,disculpar
start,comienzo
kill,matar
hard,difícil
you'd,tú
today,Este Dia
car,coche
ready,Listo
until,Hasta que
without,sin que
whatever,lo que sea
wants,quiere
hold,mantener
wanna,querer
yet,aún
seen,visto
deal,acuerdo
took,tomó
once,una vez
gone,desaparecido
called,llamó
morning,Mañana
supposed,supuesto
friends,amigos
head,cabeza
stuff,cosas
most,la mayoría
used,usó
worry,preocuparse
second,segundo
part,parte
